run_id,round,query_source,action,query,question,gold_answer,supporting_ids,retrieved_ids,support_in_current_retrieved,support_seen_before,new_support_in_current_retrieved,cumulative_support_after_step,raw_rank_first_support,original_question_rank_first_support,support_in_raw_top50,support_in_original_question_top50,categories
2hop__129721_40482,2,structured_llm,abstain,Huguenots purchase land from whom in state with Zubly Cemetery,From whom did the Huguenots in the state encompassing Zubly Cemetery purchase land from?,Edmund Bellinger,"[""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]","[""2hop__129721_40482::p3"", ""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]","[""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]","[""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]",[],"[""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]",2,1,"[""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]","[""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
2hop__131951_643670,2,structured_llm,abstain,name of mouth of watercourse near Rotterdam Centrum,What is the name for the mouth of the watercourse of the body of water by Rotterdam Centrum?,Het Scheur,"[""2hop__131951_643670::p10"", ""2hop__131951_643670::p6""]","[""2hop__131951_643670::p6"", ""2hop__131951_643670::p10"", ""4hop1__726391_153080_33952_34109::p1""]","[""2hop__131951_643670::p10"", ""2hop__131951_643670::p6""]","[""2hop__131951_643670::p10"", ""2hop__131951_643670::p6""]",[],"[""2hop__131951_643670::p10"", ""2hop__131951_643670::p6""]",1,1,"[""2hop__131951_643670::p10"", ""2hop__131951_643670::p6""]","[""2hop__131951_643670::p10"", ""2hop__131951_643670::p6""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
2hop__132854_417697,2,structured_llm,abstain,Mohammed Atta Datsun Type 12 connection,Mohammed Atta has what kind of model of the company that makes Datsun Type 12?,Nissan Altima,"[""2hop__132854_417697::p10"", ""2hop__132854_417697::p6""]","[""2hop__132854_417697::p10"", ""3hop2__132957_133264_40768::p13"", ""2hop__132854_417697::p16""]","[""2hop__132854_417697::p10""]","[""2hop__132854_417697::p10""]",[],"[""2hop__132854_417697::p10""]",1,1,"[""2hop__132854_417697::p10"", ""2hop__132854_417697::p6""]","[""2hop__132854_417697::p10"", ""2hop__132854_417697::p6""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
2hop__20268_42014,2,structured_llm,answer,number of members of Scottish Government also in Scottish Parliament when Directory of Public Worship enacted,How many members in the seats of the organization that enacted the Directory of Public Worship into law are members of the Scottish Government?,2,"[""2hop__20268_42014::p1"", ""2hop__20268_42014::p8""]","[""2hop__20268_42014::p8"", ""2hop__20268_42014::p1"", ""2hop__42027_42004::p4""]","[""2hop__20268_42014::p1"", ""2hop__20268_42014::p8""]","[""2hop__20268_42014::p1"", ""2hop__20268_42014::p8""]",[],"[""2hop__20268_42014::p1"", ""2hop__20268_42014::p8""]",1,1,"[""2hop__20268_42014::p1"", ""2hop__20268_42014::p8""]","[""2hop__20268_42014::p1"", ""2hop__20268_42014::p8""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup""]"
2hop__244193_461106,3,structured_llm,abstain,movement of Robert Mills,What movement does the creator of the Washington Monument belong to?,Greek Revival,"[""2hop__244193_461106::p3"", ""2hop__244193_461106::p6""]","[""2hop__244193_461106::p6"", ""2hop__728969_131890::p8"", ""2hop__728969_131890::p19""]","[""2hop__244193_461106::p6""]","[""2hop__244193_461106::p6""]",[],"[""2hop__244193_461106::p6""]",1,4,"[""2hop__244193_461106::p6""]","[""2hop__244193_461106::p6""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context"", ""query_drops_question_constraints""]"
2hop__247353_55227,2,structured_llm,refine_query,screenwriter of Here Comes the Boom and their wife's role in Grown Ups,Who plays the wife of Here Comes the Boom's screenwriter in Grown Ups?,Maria Bello,"[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]","[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6"", ""2hop__92590_43786::p2"", ""2hop__92590_43786::p16"", ""2hop__435184_84856::p19""]","[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]","[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]",[],"[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]",1,1,"[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]","[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
2hop__247353_55227,3,structured_llm,abstain,Who plays the wife of Here Comes the Boom's screenwriter in Grown Ups,Who plays the wife of Here Comes the Boom's screenwriter in Grown Ups?,Maria Bello,"[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]","[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6"", ""2hop__91211_90973::p7""]","[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]","[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]",[],"[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]",1,1,"[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]","[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
2hop__286621_84856,2,structured_llm,refine_query,show named after Politically Incorrect cast member new season,When does the new season of the show named for the Politically Incorrect cast member?,"January 20, 2017","[""2hop__286621_84856::p12"", ""2hop__286621_84856::p17""]","[""2hop__286621_84856::p17"", ""3hop1__140786_2053_5289::p10"", ""3hop1__389955_132457_47686::p11"", ""3hop2__49541_140875_51068::p3"", ""2hop__82766_67668::p2""]","[""2hop__286621_84856::p17""]","[""2hop__286621_84856::p17""]",[],"[""2hop__286621_84856::p17""]",1,1,"[""2hop__286621_84856::p12"", ""2hop__286621_84856::p17""]","[""2hop__286621_84856::p12"", ""2hop__286621_84856::p17""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
2hop__286621_84856,3,structured_llm,abstain,show named for Politically Incorrect cast member new season date,When does the new season of the show named for the Politically Incorrect cast member?,"January 20, 2017","[""2hop__286621_84856::p12"", ""2hop__286621_84856::p17""]","[""2hop__286621_84856::p17"", ""3hop1__140786_2053_5289::p10"", ""3hop1__140786_2053_52946::p19""]","[""2hop__286621_84856::p17""]","[""2hop__286621_84856::p17""]",[],"[""2hop__286621_84856::p17""]",1,1,"[""2hop__286621_84856::p12"", ""2hop__286621_84856::p17""]","[""2hop__286621_84856::p12"", ""2hop__286621_84856::p17""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
2hop__351045_47134,2,structured_llm,refine_query,mascot of operator of RV Wecoma,What is the mascot of the operator of RV Wecoma?,Benny Beaver,"[""2hop__351045_47134::p2"", ""2hop__351045_47134::p4""]","[""2hop__351045_47134::p4"", ""3hop1__786067_228453_86925::p9"", ""2hop__351045_47134::p18""]","[""2hop__351045_47134::p4""]","[""2hop__351045_47134::p4""]",[],"[""2hop__351045_47134::p4""]",1,1,"[""2hop__351045_47134::p2"", ""2hop__351045_47134::p4""]","[""2hop__351045_47134::p2"", ""2hop__351045_47134::p4""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
