run_id,round,query_source,action,query,question,gold_answer,supporting_ids,retrieved_ids,support_in_current_retrieved,support_seen_before,new_support_in_current_retrieved,cumulative_support_after_step,raw_rank_first_support,original_question_rank_first_support,support_in_raw_top50,support_in_original_question_top50,categories
2hop__129721_40482,2,structured_llm,refine_query,"Who did the Huguenots in Aiken County, South Carolina purchase land from?",From whom did the Huguenots in the state encompassing Zubly Cemetery purchase land from?,Edmund Bellinger,"[""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]","[""2hop__129721_40482::p14"", ""2hop__129721_40482::p3"", ""2hop__129721_40482::p18""]","[""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]","[""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]",[],"[""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]",1,1,"[""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]","[""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
2hop__129721_40482,3,verifier_fallback,abstain,"From whom did the Huguenots in South Carolina, specifically in the area of Zubly Cemetery, purchase land?",From whom did the Huguenots in the state encompassing Zubly Cemetery purchase land from?,Edmund Bellinger,"[""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]","[""2hop__129721_40482::p18"", ""2hop__129721_40482::p14"", ""2hop__129721_40482::p3""]","[""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]","[""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]",[],"[""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]",1,1,"[""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]","[""2hop__129721_40482::p14"", ""2hop__129721_40482::p18""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
2hop__131951_643670,2,structured_llm,refine_query,name of the mouth of the watercourse by Rotterdam Centrum,What is the name for the mouth of the watercourse of the body of water by Rotterdam Centrum?,Het Scheur,"[""2hop__131951_643670::p10"", ""2hop__131951_643670::p6""]","[""2hop__131951_643670::p6"", ""2hop__131951_643670::p10"", ""4hop1__726391_153080_33952_34109::p1""]","[""2hop__131951_643670::p10"", ""2hop__131951_643670::p6""]","[""2hop__131951_643670::p10"", ""2hop__131951_643670::p6""]",[],"[""2hop__131951_643670::p10"", ""2hop__131951_643670::p6""]",1,1,"[""2hop__131951_643670::p10"", ""2hop__131951_643670::p6""]","[""2hop__131951_643670::p10"", ""2hop__131951_643670::p6""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
2hop__131951_643670,3,verifier_fallback,abstain,What is the name of the mouth of the watercourse by Rotterdam Centrum?,What is the name for the mouth of the watercourse of the body of water by Rotterdam Centrum?,Het Scheur,"[""2hop__131951_643670::p10"", ""2hop__131951_643670::p6""]","[""2hop__131951_643670::p6"", ""2hop__131951_643670::p10"", ""4hop1__726391_153080_33952_34109::p1""]","[""2hop__131951_643670::p10"", ""2hop__131951_643670::p6""]","[""2hop__131951_643670::p10"", ""2hop__131951_643670::p6""]",[],"[""2hop__131951_643670::p10"", ""2hop__131951_643670::p6""]",1,1,"[""2hop__131951_643670::p10"", ""2hop__131951_643670::p6""]","[""2hop__131951_643670::p10"", ""2hop__131951_643670::p6""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
2hop__132854_417697,2,structured_llm,refine_query,Does Mohammed Atta own or possess a Datsun model?,Mohammed Atta has what kind of model of the company that makes Datsun Type 12?,Nissan Altima,"[""2hop__132854_417697::p10"", ""2hop__132854_417697::p6""]","[""3hop2__132957_379231_40768::p3"", ""3hop2__132957_133264_40768::p13"", ""2hop__132854_417697::p16""]",[],"[""2hop__132854_417697::p10""]",[],"[""2hop__132854_417697::p10""]",6,1,"[""2hop__132854_417697::p10"", ""2hop__132854_417697::p6""]","[""2hop__132854_417697::p10"", ""2hop__132854_417697::p6""]","[""support_already_seen_before_followup"", ""verifier_failed_despite_support_context"", ""top_k_too_small"", ""per_subquery_or_total_top_k_too_small""]"
2hop__132854_417697,3,verifier_fallback,abstain,What kind of Datsun model does Mohammed Atta have?,Mohammed Atta has what kind of model of the company that makes Datsun Type 12?,Nissan Altima,"[""2hop__132854_417697::p10"", ""2hop__132854_417697::p6""]","[""3hop2__132957_379231_40768::p3"", ""3hop2__132957_133264_40768::p13"", ""2hop__132854_417697::p16""]",[],"[""2hop__132854_417697::p10""]",[],"[""2hop__132854_417697::p10""]",6,1,"[""2hop__132854_417697::p10"", ""2hop__132854_417697::p6""]","[""2hop__132854_417697::p10"", ""2hop__132854_417697::p6""]","[""support_already_seen_before_followup"", ""verifier_failed_despite_support_context"", ""top_k_too_small"", ""per_subquery_or_total_top_k_too_small""]"
2hop__167577_31122,2,structured_llm,answer,century of author of A Treatise Concerning the Principles of Human Knowledge,What century did the author of A Treatise Concerning the Principles of Human Knowledge live in?,18th,"[""2hop__167577_31122::p10"", ""2hop__167577_31122::p14""]","[""2hop__167577_31122::p10"", ""2hop__167577_31122::p9"", ""2hop__23459_35124::p6""]","[""2hop__167577_31122::p10""]","[""2hop__167577_31122::p10""]",[],"[""2hop__167577_31122::p10""]",1,1,"[""2hop__167577_31122::p10"", ""2hop__167577_31122::p14""]","[""2hop__167577_31122::p10"", ""2hop__167577_31122::p14""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup""]"
2hop__20268_42014,2,structured_llm,answer,number of Scottish Government members in Scottish Parliament when Directory of Public Worship was enacted,How many members in the seats of the organization that enacted the Directory of Public Worship into law are members of the Scottish Government?,2,"[""2hop__20268_42014::p1"", ""2hop__20268_42014::p8""]","[""2hop__20268_42014::p8"", ""2hop__20268_42014::p1"", ""2hop__42027_42004::p4""]","[""2hop__20268_42014::p1"", ""2hop__20268_42014::p8""]","[""2hop__20268_42014::p1"", ""2hop__20268_42014::p8""]",[],"[""2hop__20268_42014::p1"", ""2hop__20268_42014::p8""]",1,1,"[""2hop__20268_42014::p1"", ""2hop__20268_42014::p8""]","[""2hop__20268_42014::p1"", ""2hop__20268_42014::p8""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup""]"
2hop__244193_461106,3,structured_llm,abstain,movement of Robert Mills,What movement does the creator of the Washington Monument belong to?,Greek Revival,"[""2hop__244193_461106::p3"", ""2hop__244193_461106::p6""]","[""2hop__244193_461106::p6"", ""2hop__728969_131890::p8"", ""2hop__728969_131890::p19""]","[""2hop__244193_461106::p6""]","[""2hop__244193_461106::p6""]",[],"[""2hop__244193_461106::p6""]",1,4,"[""2hop__244193_461106::p6""]","[""2hop__244193_461106::p6""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context"", ""query_drops_question_constraints""]"
2hop__247353_55227,2,structured_llm,refine_query,wife of Here Comes the Boom screenwriter in Grown Ups actor,Who plays the wife of Here Comes the Boom's screenwriter in Grown Ups?,Maria Bello,"[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]","[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6"", ""2hop__91211_90973::p7""]","[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]","[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]",[],"[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]",1,1,"[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]","[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
