run,method,count,answer_f1,avg_retrieval_calls
layer1_api_balanced300_bm25_scoped_prompt_v3_all_methods,fixed_k,300,0.1948160835081313,3
layer1_api_balanced300_bm25_scoped_prompt_v3_all_methods,naive,300,0.1948160835081313,1
layer1_api_balanced300_bm25_scoped_prompt_v3_all_methods,ours,300,0.15177811876684116,2.34
layer1_api_balanced300_bm25_scoped_prompt_v3_all_methods,prompt_verifier,300,0.15177811876684116,1
layer1_api_balanced300_bm25_scoped_prompt_v3_all_methods,self_stop,300,0.1948160835081313,1
layer1_api_balanced300_dense_bge_rerank_subset2_scoped_prompt_v3_all_methods,fixed_k,2,0.5,3
layer1_api_balanced300_dense_bge_rerank_subset2_scoped_prompt_v3_all_methods,naive,2,0.5,1
layer1_api_balanced300_dense_bge_rerank_subset2_scoped_prompt_v3_all_methods,ours,2,0.5,2
layer1_api_balanced300_dense_bge_rerank_subset2_scoped_prompt_v3_all_methods,prompt_verifier,2,0.5,1
layer1_api_balanced300_dense_bge_rerank_subset2_scoped_prompt_v3_all_methods,self_stop,2,0.5,1
layer1_api_balanced300_dense_bge_scoped_prompt_v3_all_methods,fixed_k,300,0.3883471744244563,3
layer1_api_balanced300_dense_bge_scoped_prompt_v3_all_methods,naive,300,0.3883471744244563,1
layer1_api_balanced300_dense_bge_scoped_prompt_v3_all_methods,ours,300,0.35332466595925144,1.8866666666666667
layer1_api_balanced300_dense_bge_scoped_prompt_v3_all_methods,prompt_verifier,300,0.35332466595925144,1
layer1_api_balanced300_dense_bge_scoped_prompt_v3_all_methods,self_stop,300,0.3883471744244563,1
layer1_api_balanced300_dense_scoped_prompt_v3_all_methods,fixed_k,300,0.09787078139916713,3
layer1_api_balanced300_dense_scoped_prompt_v3_all_methods,naive,300,0.09787078139916713,1
layer1_api_balanced300_dense_scoped_prompt_v3_all_methods,ours,300,0.05268501186347526,2.8133333333333335
layer1_api_balanced300_dense_scoped_prompt_v3_all_methods,prompt_verifier,300,0.05268501186347526,1
layer1_api_balanced300_dense_scoped_prompt_v3_all_methods,self_stop,300,0.09787078139916713,1
offline_bm25_smoke_all_methods,fixed_k,4,0.75,3
offline_bm25_smoke_all_methods,naive,4,0.75,1
offline_bm25_smoke_all_methods,ours,4,0.75,1.5
offline_bm25_smoke_all_methods,prompt_verifier,4,0.75,1
offline_bm25_smoke_all_methods,self_stop,4,0.75,1
offline_dense_bge_rerank_smoke_all_methods,fixed_k,4,0.75,3
offline_dense_bge_rerank_smoke_all_methods,naive,4,0.75,1
offline_dense_bge_rerank_smoke_all_methods,ours,4,0.75,1.5
offline_dense_bge_rerank_smoke_all_methods,prompt_verifier,4,0.75,1
offline_dense_bge_rerank_smoke_all_methods,self_stop,4,0.75,1
