run_id,round,query_source,action,query,question,gold_answer,supporting_ids,retrieved_ids,support_in_current_retrieved,support_seen_before,new_support_in_current_retrieved,cumulative_support_after_step,raw_rank_first_support,original_question_rank_first_support,support_in_raw_top50,support_in_original_question_top50,categories
2hop__10620_49084,2,checklist,refine_query,Need answer plays legendary figure featured Historia Regum Britanniae show Once Upon Time Eldol king Britain Geoffrey Monmouth's c,Who plays the legendary figure featured in Historia Regum Britanniae in the show Once Upon a Time?,Liam Thomas Garrigan,"[""2hop__10620_49084::p18"", ""2hop__10620_49084::p2""]","[""2hop__10620_79092::p9"", ""2hop__10620_49084::p7"", ""2hop__10620_79092::p0"", ""2hop__10620_49084::p11"", ""2hop__10620_79092::p7"", ""2hop__10620_79092::p10"", ""2hop__10620_49084::p0"", ""2hop__10620_49084::p15"", ""2hop__10620_79092::p4"", ""2hop__10620_49084::p13""]",[],[],[],[],13,14,"[""2hop__10620_49084::p18"", ""2hop__10620_49084::p2""]","[""2hop__10620_49084::p18"", ""2hop__10620_49084::p2""]","[""top_k_too_small"", ""per_subquery_or_total_top_k_too_small""]"
2hop__10620_49084,3,checklist,abstain,Need answer plays legendary figure featured Historia Regum Britanniae show Once Upon Time Eldol king Britain Geoffrey Monmouth's c,Who plays the legendary figure featured in Historia Regum Britanniae in the show Once Upon a Time?,Liam Thomas Garrigan,"[""2hop__10620_49084::p18"", ""2hop__10620_49084::p2""]","[""2hop__10620_79092::p9"", ""2hop__10620_49084::p7"", ""2hop__10620_79092::p0"", ""2hop__10620_49084::p11"", ""2hop__10620_79092::p7"", ""2hop__10620_79092::p10"", ""2hop__10620_49084::p0"", ""2hop__10620_49084::p15"", ""2hop__10620_79092::p4"", ""2hop__10620_49084::p13""]",[],[],[],[],13,14,"[""2hop__10620_49084::p18"", ""2hop__10620_49084::p2""]","[""2hop__10620_49084::p18"", ""2hop__10620_49084::p2""]","[""top_k_too_small"", ""per_subquery_or_total_top_k_too_small""]"
2hop__10620_79092,2,checklist,refine_query,Need answer volcano named after legendary King featured Historia Regum Britanniae last erupted Catellus Britons recounted Geoffrey Monmouth's work,"The volcano, named after the legendary King featured in Historia Regum Britanniae, last erupted when?",lava samples have been dated at 341 to 335 million years old,"[""2hop__10620_79092::p12"", ""2hop__10620_79092::p18""]","[""2hop__10620_49084::p7"", ""2hop__10620_79092::p0"", ""2hop__10620_79092::p7"", ""2hop__10620_49084::p11"", ""2hop__10620_49084::p0"", ""2hop__10620_79092::p10"", ""2hop__10620_49084::p13"", ""2hop__10620_79092::p2"", ""2hop__10620_79092::p9"", ""2hop__10620_79092::p4""]",[],[],[],[],13,15,"[""2hop__10620_79092::p12"", ""2hop__10620_79092::p18""]","[""2hop__10620_79092::p12"", ""2hop__10620_79092::p18""]","[""top_k_too_small"", ""per_subquery_or_total_top_k_too_small""]"
2hop__10620_79092,3,checklist,abstain,Need answer volcano named after legendary King featured Historia Regum Britanniae last erupted Catellus Britons recounted Geoffrey Monmouth's work,"The volcano, named after the legendary King featured in Historia Regum Britanniae, last erupted when?",lava samples have been dated at 341 to 335 million years old,"[""2hop__10620_79092::p12"", ""2hop__10620_79092::p18""]","[""2hop__10620_49084::p7"", ""2hop__10620_79092::p0"", ""2hop__10620_79092::p7"", ""2hop__10620_49084::p11"", ""2hop__10620_49084::p0"", ""2hop__10620_79092::p10"", ""2hop__10620_49084::p13"", ""2hop__10620_79092::p2"", ""2hop__10620_79092::p9"", ""2hop__10620_79092::p4""]",[],[],[],[],13,15,"[""2hop__10620_79092::p12"", ""2hop__10620_79092::p18""]","[""2hop__10620_79092::p12"", ""2hop__10620_79092::p18""]","[""top_k_too_small"", ""per_subquery_or_total_top_k_too_small""]"
2hop__10900_21567,3,checklist,abstain,Need answer introduced system musical notation 14th century used area Ottoman slave trade flourished first military unit State army organized Osman I tribesmen inhabiting,Who introduced a system of musical notation in the 14th century used in the area where the Ottoman slave trade flourished?,John Kukuzelis,"[""2hop__10900_21567::p14"", ""2hop__10900_21567::p19""]","[""2hop__10900_21567::p8"", ""2hop__10900_21567::p19"", ""2hop__10900_21567::p2"", ""2hop__10900_21567::p12"", ""2hop__832795_350510::p15"", ""2hop__9930_21567::p1"", ""2hop__8496_21567::p17"", ""2hop__70490_21567::p3"", ""2hop__17455_21567::p2"", ""2hop__161872_21567::p12""]","[""2hop__10900_21567::p19""]","[""2hop__10900_21567::p19""]",[],"[""2hop__10900_21567::p19""]",2,17,"[""2hop__10900_21567::p14"", ""2hop__10900_21567::p19""]","[""2hop__10900_21567::p14"", ""2hop__10900_21567::p19""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
2hop__135652_669373,2,checklist,abstain,Need answer employer physicist Mach number named after Austrian philosopher Ernst designation proposed aeronautical engineer Jakob Ackeret,Who is the employer of the physicist who Mach number is named after?,Charles University,"[""2hop__135652_669373::p4"", ""2hop__135652_669373::p5""]","[""2hop__135651_669373::p15"", ""2hop__135653_669373::p11"", ""2hop__135652_669373::p4"", ""2hop__135651_669373::p7"", ""2hop__135653_669373::p6"", ""2hop__135652_669373::p17"", ""2hop__135651_669373::p3"", ""2hop__135653_669373::p1"", ""2hop__135652_669373::p15"", ""2hop__135652_669373::p9""]","[""2hop__135652_669373::p4""]","[""2hop__135652_669373::p4""]",[],"[""2hop__135652_669373::p4""]",3,3,"[""2hop__135652_669373::p4"", ""2hop__135652_669373::p5""]","[""2hop__135652_669373::p4"", ""2hop__135652_669373::p5""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
2hop__13592_49388,2,checklist,refine_query,Need answer How many games season league Barcelona won titles 1948 1949 treble 2014 2015 winning La Liga Copa del Rey UEFA Champions became,How many games in a season of the league in which Barcelona won titles in 1948 and 1949?,38,"[""2hop__13592_49388::p15"", ""2hop__13592_49388::p2""]","[""2hop__13539_13493::p1"", ""2hop__13574_13498::p0"", ""2hop__13592_85544::p10"", ""2hop__13592_49388::p7"", ""2hop__13574_13498::p2"", ""2hop__13574_13498::p7"", ""2hop__13539_13493::p19"", ""2hop__13539_13493::p6"", ""2hop__13574_13498::p6"", ""2hop__13592_49388::p9""]",[],[],[],[],38,20,"[""2hop__13592_49388::p15"", ""2hop__13592_49388::p2""]","[""2hop__13592_49388::p15"", ""2hop__13592_49388::p2""]","[""top_k_too_small"", ""per_subquery_or_total_top_k_too_small""]"
2hop__13592_49388,3,checklist,abstain,Need answer How many games season league Barcelona won titles 1948 1949 treble 2014 2015 winning La Liga Copa del Rey UEFA Champions became,How many games in a season of the league in which Barcelona won titles in 1948 and 1949?,38,"[""2hop__13592_49388::p15"", ""2hop__13592_49388::p2""]","[""2hop__13539_13493::p1"", ""2hop__13574_13498::p0"", ""2hop__13592_85544::p10"", ""2hop__13592_49388::p7"", ""2hop__13574_13498::p2"", ""2hop__13574_13498::p7"", ""2hop__13539_13493::p19"", ""2hop__13539_13493::p6"", ""2hop__13574_13498::p6"", ""2hop__13592_49388::p9""]",[],[],[],[],38,20,"[""2hop__13592_49388::p15"", ""2hop__13592_49388::p2""]","[""2hop__13592_49388::p15"", ""2hop__13592_49388::p2""]","[""top_k_too_small"", ""per_subquery_or_total_top_k_too_small""]"
2hop__13592_85544,2,checklist,refine_query,Need answer How many games team league Barcelona won titles 1948 1949 play one three founding members Primera Divisi n never been relegated top,How many games do team in the league where Barcelona won titles in 1948 and 1949 play?,38,"[""2hop__13592_85544::p11"", ""2hop__13592_85544::p12""]","[""2hop__13574_13498::p7"", ""2hop__13539_13493::p19"", ""2hop__13539_13493::p6"", ""2hop__13574_13498::p6"", ""2hop__13592_49388::p9"", ""2hop__13574_13498::p2"", ""2hop__13592_85544::p13"", ""2hop__13592_85544::p6"", ""2hop__13592_85544::p10"", ""2hop__13592_49388::p7""]",[],[],[],[],29,22,"[""2hop__13592_85544::p11"", ""2hop__13592_85544::p12""]","[""2hop__13592_85544::p11"", ""2hop__13592_85544::p12""]","[""top_k_too_small"", ""per_subquery_or_total_top_k_too_small""]"
2hop__13592_85544,3,checklist,abstain,Need answer How many games team league Barcelona won titles 1948 1949 play one three founding members Primera Divisi n never been relegated top,How many games do team in the league where Barcelona won titles in 1948 and 1949 play?,38,"[""2hop__13592_85544::p11"", ""2hop__13592_85544::p12""]","[""2hop__13574_13498::p7"", ""2hop__13539_13493::p19"", ""2hop__13539_13493::p6"", ""2hop__13574_13498::p6"", ""2hop__13592_49388::p9"", ""2hop__13574_13498::p2"", ""2hop__13592_85544::p13"", ""2hop__13592_85544::p6"", ""2hop__13592_85544::p10"", ""2hop__13592_49388::p7""]",[],[],[],[],29,22,"[""2hop__13592_85544::p11"", ""2hop__13592_85544::p12""]","[""2hop__13592_85544::p11"", ""2hop__13592_85544::p12""]","[""top_k_too_small"", ""per_subquery_or_total_top_k_too_small""]"
