run,sample_id,round,query_source,action,expected_gain,next_round,next_query_source,next_evidence_gain,next_has_gain,current_query,next_query
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__129721_40482,1,,refine_query,0.0,2,,0.0,False,From whom did the Huguenots in the state encompassing Zubly Cemetery purchase land from?,Who did the Huguenots in South Carolina purchase land from?
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__129721_40482,2,,refine_query,0.0,3,,0.0,False,Who did the Huguenots in South Carolina purchase land from?,"Who did the Huguenots in Aiken County, South Carolina purchase land from to establish the Zubly Cemetery?"
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__131951_643670,1,,refine_query,0.0,2,,0.0,False,What is the name for the mouth of the watercourse of the body of water by Rotterdam Centrum?,What is the name of the mouth of the watercourse by Rotterdam Centrum?
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__132854_417697,1,,refine_query,0.0,2,,0.0,False,Mohammed Atta has what kind of model of the company that makes Datsun Type 12?,"Does Mohammed Atta own or possess a Datsun model, and if so, what kind of model is it?"
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__132854_417697,2,,refine_query,0.0,3,,0.0,False,"Does Mohammed Atta own or possess a Datsun model, and if so, what kind of model is it?",Does Mohammed Atta own or have a Datsun Type 12 or any other Datsun model?
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__167577_31122,1,,refine_query,0.0,2,,0.0,False,What century did the author of A Treatise Concerning the Principles of Human Knowledge live in?,What century did the author of A Treatise Concerning the Principles of Human Knowledge live in?
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__20268_42014,1,,refine_query,0.0,2,,0.0,False,How many members in the seats of the organization that enacted the Directory of Public Worship into law are members of the Scottish Government?,How many members of the Scottish Government are in the seats of the Scottish Parliament that enacted the Directory of Public Worship into law?
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__20268_42014,2,,refine_query,0.0,3,,0.0,False,How many members of the Scottish Government are in the seats of the Scottish Parliament that enacted the Directory of Public Worship into law?,How many members of the Scottish Government were part of the Scottish Parliament when the Directory of Public Worship was enacted into law?
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__244193_461106,1,,refine_query,0.0,2,,0.5,True,What movement does the creator of the Washington Monument belong to?,Who was the creator of the Washington Monument and what movement did they belong to?
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__244193_461106,2,,refine_query,0.0,3,,0.0,False,Who was the creator of the Washington Monument and what movement did they belong to?,"What movement does Robert Mills, the creator of the Washington Monument, belong to?"
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__247353_55227,1,,refine_query,0.0,2,,0.0,False,Who plays the wife of Here Comes the Boom's screenwriter in Grown Ups?,Identify the screenwriter of Here Comes the Boom and find out if their spouse has a role in Grown Ups.
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__247353_55227,2,,refine_query,0.0,3,,0.0,False,Identify the screenwriter of Here Comes the Boom and find out if their spouse has a role in Grown Ups.,Who is the wife of Here Comes the Boom's screenwriter in the movie Grown Ups?
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__25396_593388,1,,refine_query,0.0,2,,0.5,True,Who was the father of the person who issued the Tamworth manifesto?,Who was the father of Robert Peel?
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__2682_577502,1,,refine_query,0.0,2,,0.5,True,Who is the spouse of the famous governor signing legislation in honor of Donda West's death?,Who is the spouse of Arnold Schwarzenegger?
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__286621_84856,1,,refine_query,0.0,2,,0.0,False,When does the new season of the show named for the Politically Incorrect cast member?,Find information about a new season of a show named for a cast member of Politically Incorrect.
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__286621_84856,2,,refine_query,0.0,3,,0.0,False,Find information about a new season of a show named for a cast member of Politically Incorrect.,Find a show named after a Politically Incorrect cast member and its new season release date.
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__315267_277284,1,,refine_query,0.0,2,,0.5,True,What administrative territorial entity includes the place where Bill Cockcroft was educated?,What is the administrative territorial entity that includes the location of The Judd School and the University of South Bank?
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__341176_711757,1,,refine_query,0.0,2,,0.5,True,What other district is found in the same county as Gmina Stężyca?,"List other districts in Ryki County, Lublin Voivodeship"
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__351045_47134,1,,refine_query,0.0,2,,0.5,True,What is the mascot of the operator of RV Wecoma?,What is the mascot of the College of Oceanic & Atmospheric Sciences at Oregon State University?
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__3739_13529,1,,refine_query,0.0,2,,0.0,False,When was the football star who backed out due to relay controversy signed by Barcelona?,Find evidence of a football star who backed out of signing with Barcelona due to a relay controversy.
layer1_api_balanced300_dense_bge_decomp_gate_claim_risk_subset30,2hop__3739_13529,2,,refine_query,0.0,3,,0.0,False,Find evidence of a football star who backed out of signing with Barcelona due to a relay controversy.,Find evidence about a football star who backed out of a deal with Barcelona due to a relay controversy.
layer1_api_balanced300_dense_bge_decomp_gate_claim_evidence_memory_claim_risk_subset30_agentic_rag_baseline,2hop__129721_40482,1,,refine_query,0.0,2,,0.0,False,From whom did the Huguenots in the state encompassing Zubly Cemetery purchase land from?,Information about the Huguenots purchasing land in the state encompassing Zubly Cemetery is not provided in the given evidence. From whom did the Huguenots in the state encompassing Zubly Cemetery purchase land from?
layer1_api_balanced300_dense_bge_decomp_gate_claim_evidence_memory_claim_risk_subset30_agentic_rag_baseline,2hop__129721_40482,2,,refine_query,0.0,3,,0.0,False,Information about the Huguenots purchasing land in the state encompassing Zubly Cemetery is not provided in the given evidence. From whom did the Huguenots in the state encompassing Zubly Cemetery purchase land from?,Information about the specific land purchase by Huguenots in the area of Zubly Cemetery is not provided. From whom did the Huguenots in the state encompassing Zubly Cemetery purchase land from?
layer1_api_balanced300_dense_bge_decomp_gate_claim_evidence_memory_claim_risk_subset30_agentic_rag_baseline,2hop__131951_643670,1,,refine_query,0.0,2,,0.0,False,What is the name for the mouth of the watercourse of the body of water by Rotterdam Centrum?,Specific information about the mouth of a watercourse near Rotterdam Centrum is not provided. The name for the mouth of the watercourse of the body of water by Rotterdam Centrum is UNKNOWN
layer1_api_balanced300_dense_bge_decomp_gate_claim_evidence_memory_claim_risk_subset30_agentic_rag_baseline,2hop__131951_643670,2,,refine_query,0.0,3,,0.0,False,Specific information about the mouth of a watercourse near Rotterdam Centrum is not provided. The name for the mouth of the watercourse of the body of water by Rotterdam Centrum is UNKNOWN,Specific name for the mouth of the watercourse by Rotterdam Centrum The name for the mouth of the watercourse of the body of water by Rotterdam Centrum is UNKNOWN
layer1_api_balanced300_dense_bge_decomp_gate_claim_evidence_memory_claim_risk_subset30_agentic_rag_baseline,2hop__132854_417697,1,,refine_query,0.0,2,,0.0,False,Mohammed Atta has what kind of model of the company that makes Datsun Type 12?,Information about Mohammed Atta's ownership or connection to a Datsun model or Nissan company Mohammed Atta has what kind of model of the company that makes Datsun Type 12
layer1_api_balanced300_dense_bge_decomp_gate_claim_evidence_memory_claim_risk_subset30_agentic_rag_baseline,2hop__132854_417697,2,,refine_query,0.0,3,,0.0,False,Information about Mohammed Atta's ownership or connection to a Datsun model or Nissan company Mohammed Atta has what kind of model of the company that makes Datsun Type 12,Information about Mohammed Atta's ownership or possession of a Datsun model is missing. Mohammed Atta has what kind of model of the company that makes Datsun Type 12
layer1_api_balanced300_dense_bge_decomp_gate_claim_evidence_memory_claim_risk_subset30_agentic_rag_baseline,2hop__167577_31122,1,,refine_query,0.0,2,,0.5,True,What century did the author of A Treatise Concerning the Principles of Human Knowledge live in?,"The evidence provided indicates that George Berkeley, the author of A Treatise Concerning the Principles of Human Knowledge, lived in the 18th century, not the 17th or 19th. The claim states '18世纪', which is correct, but the answer format should be consistent with the evidence provided, which is in English. The claim should be rephrased as '18th century' to be supported. 18世纪"
layer1_api_balanced300_dense_bge_decomp_gate_claim_evidence_memory_claim_risk_subset30_agentic_rag_baseline,2hop__167577_31122,2,,refine_query,0.0,3,,0.0,False,"The evidence provided indicates that George Berkeley, the author of A Treatise Concerning the Principles of Human Knowledge, lived in the 18th century, not the 17th or 19th. The claim states '18世纪', which is correct, but the answer format should be consistent with the evidence provided, which is in English. The claim should be rephrased as '18th century' to be supported. 18世纪","The evidence provided indicates that George Berkeley, the author of A Treatise Concerning the Principles of Human Knowledge, lived in the 18th century, not the 17th or 19th. The claim states '18世纪', which is correct, but the answer format should be consistent with the evidence provided, which is in English. The claim should be rephrased as '18th century' to be supported. 18世纪"
layer1_api_balanced300_dense_bge_decomp_gate_claim_evidence_memory_claim_risk_subset30_agentic_rag_baseline,2hop__194469_83289,1,,refine_query,0.0,2,,0.0,False,Who is the guy in the One Last Time video by the participant in The Listening Sessions?,"The evidence provided does not mention The Listening Sessions or any participant from it. It only mentions Matt Bennett and Elizabeth Gillies as co-stars from Victorious, but does not identify a specific 'guy' in the video. The guy in the One Last Time video by the participant in The Listening Sessions is UNKNOWN"
layer1_api_balanced300_dense_bge_decomp_gate_claim_evidence_memory_claim_risk_subset30_agentic_rag_baseline,2hop__194469_83289,2,,refine_query,0.0,3,,0.0,False,"The evidence provided does not mention The Listening Sessions or any participant from it. It only mentions Matt Bennett and Elizabeth Gillies as co-stars from Victorious, but does not identify a specific 'guy' in the video. The guy in the One Last Time video by the participant in The Listening Sessions is UNKNOWN","The evidence provided does not mention The Listening Sessions or any participant from it. It only mentions Matt Bennett and Elizabeth Gillies as co-stars from Victorious, but does not identify a specific 'guy' in the video. The guy in the One Last Time video by the participant in The Listening Sessions is UNKNOWN"
layer1_api_balanced300_dense_bge_decomp_gate_claim_evidence_memory_claim_risk_subset30_agentic_rag_baseline,2hop__20268_42014,1,,refine_query,0.0,2,,0.0,False,How many members in the seats of the organization that enacted the Directory of Public Worship into law are members of the Scottish Government?,The evidence does not provide the number of members of the Scottish Government who were in the seats of the organization that enacted the Directory of Public Worship into law. How many members in the seats of the organization that enacted the Directory of Public Worship into law are members of the Scottish Government?
layer1_api_balanced300_dense_bge_decomp_gate_claim_evidence_memory_claim_risk_subset30_agentic_rag_baseline,2hop__20268_42014,2,,refine_query,0.0,3,,0.0,False,The evidence does not provide the number of members of the Scottish Government who were in the seats of the organization that enacted the Directory of Public Worship into law. How many members in the seats of the organization that enacted the Directory of Public Worship into law are members of the Scottish Government?,The evidence does not provide information on how many members of the Scottish Government were in the seats of the organization that enacted the Directory of Public Worship into law. How many members in the seats of the organization that enacted the Directory of Public Worship into law are members of the Scottish Government?
layer1_api_balanced300_dense_bge_decomp_gate_claim_evidence_memory_claim_risk_subset30_agentic_rag_baseline,2hop__244193_461106,1,,refine_query,0.0,2,,0.5,True,What movement does the creator of the Washington Monument belong to?,Information about the creator of the Washington Monument and their affiliation with a specific movement. The creator of the Washington Monument belongs to a specific movement.
layer1_api_balanced300_dense_bge_decomp_gate_claim_evidence_memory_claim_risk_subset30_agentic_rag_baseline,2hop__244193_461106,2,,refine_query,0.0,3,,0.0,False,Information about the creator of the Washington Monument and their affiliation with a specific movement. The creator of the Washington Monument belongs to a specific movement.,Information about the movement the creator of the Washington Monument belongs to. The creator of the Washington Monument belongs to a specific movement.
layer1_api_balanced300_dense_bge_decomp_gate_claim_evidence_memory_claim_risk_subset30_agentic_rag_baseline,2hop__247353_55227,1,,refine_query,0.0,2,,0.0,False,Who plays the wife of Here Comes the Boom's screenwriter in Grown Ups?,The provided evidence does not mention the wife of Here Comes the Boom's screenwriter in Grown Ups. It only mentions the cast of Grown Ups and Here Comes the Boom. UNKNOWN plays the wife of Here Comes the Boom's screenwriter in Grown Ups
layer1_api_balanced300_dense_bge_decomp_gate_claim_evidence_memory_claim_risk_subset30_agentic_rag_baseline,2hop__247353_55227,2,,refine_query,0.0,3,,0.0,False,The provided evidence does not mention the wife of Here Comes the Boom's screenwriter in Grown Ups. It only mentions the cast of Grown Ups and Here Comes the Boom. UNKNOWN plays the wife of Here Comes the Boom's screenwriter in Grown Ups,The evidence does not provide information about the wife of Here Comes the Boom's screenwriter in Grown Ups. UNKNOWN plays the wife of Here Comes the Boom's screenwriter in Grown Ups
layer1_api_balanced300_dense_bge_decomp_gate_claim_evidence_memory_claim_risk_subset30_agentic_rag_baseline,2hop__25396_593388,1,,refine_query,0.0,2,,0.5,True,Who was the father of the person who issued the Tamworth manifesto?,"The evidence provided does not mention the father of Robert Peel, who issued the Tamworth Manifesto. UNKNOWN was the father of the person who issued the Tamworth manifesto"
