run_id,round,query_source,action,query,question,gold_answer,supporting_ids,retrieved_ids,support_in_current_retrieved,support_seen_before,new_support_in_current_retrieved,cumulative_support_after_step,raw_rank_first_support,original_question_rank_first_support,support_in_raw_top50,support_in_original_question_top50,categories
2hop__10620_49084,2,memory,abstain,Who is the legendary figure featured in Historia Regum Britanniae?,Who plays the legendary figure featured in Historia Regum Britanniae in the show Once Upon a Time?,Liam Thomas Garrigan,"[""2hop__10620_49084::p18"", ""2hop__10620_49084::p2""]","[""2hop__10620_49084::p7"", ""2hop__10620_49084::p11"", ""2hop__10620_49084::p0"", ""2hop__10620_49084::p18"", ""2hop__10620_49084::p6""]","[""2hop__10620_49084::p18""]","[""2hop__10620_49084::p18""]",[],"[""2hop__10620_49084::p18""]",6,1,"[""2hop__10620_49084::p2""]","[""2hop__10620_49084::p18"", ""2hop__10620_49084::p2""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context"", ""top_k_too_small"", ""per_subquery_or_total_top_k_too_small""]"
2hop__132854_417697,2,memory,abstain,What is Mohammed Atta's association with the Datsun Type 12 or its manufacturer?,Mohammed Atta has what kind of model of the company that makes Datsun Type 12?,Nissan Altima,"[""2hop__132854_417697::p10"", ""2hop__132854_417697::p6""]","[""2hop__132854_417697::p10"", ""3hop2__132957_133264_40768::p13"", ""2hop__132854_417697::p16"", ""4hop1__443274_17130_70784_79935::p2"", ""4hop1__443274_17130_70784_61381::p19""]","[""2hop__132854_417697::p10""]","[""2hop__132854_417697::p10""]",[],"[""2hop__132854_417697::p10""]",1,1,"[""2hop__132854_417697::p10"", ""2hop__132854_417697::p6""]","[""2hop__132854_417697::p10"", ""2hop__132854_417697::p6""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
2hop__153573_44085,2,memory,abstain,What is the name of the television show that was named after a character from Mickey's Safari in Letterland?,What was the show named after the character featured in the video game Mickey's Safari in Letterland?,The Mickey Mouse Club,"[""2hop__153573_44085::p14"", ""2hop__153573_44085::p2""]","[""2hop__153573_44085::p14"", ""2hop__153573_44085::p9"", ""2hop__153573_44085::p2"", ""2hop__82669_768138::p19"", ""3hop2__49541_140875_51068::p3""]","[""2hop__153573_44085::p14"", ""2hop__153573_44085::p2""]","[""2hop__153573_44085::p14"", ""2hop__153573_44085::p2""]",[],"[""2hop__153573_44085::p14"", ""2hop__153573_44085::p2""]",1,1,"[""2hop__153573_44085::p14"", ""2hop__153573_44085::p2""]","[""2hop__153573_44085::p14"", ""2hop__153573_44085::p2""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
2hop__167577_31122,2,memory,refine_query,What were the birth and death years of George Berkeley?,What century did the author of A Treatise Concerning the Principles of Human Knowledge live in?,18th,"[""2hop__167577_31122::p10"", ""2hop__167577_31122::p14""]","[""2hop__28203_55840::p4"", ""2hop__167577_31122::p10"", ""2hop__269766_43945::p1"", ""2hop__167577_31122::p17"", ""2hop__167577_31122::p9""]","[""2hop__167577_31122::p10""]","[""2hop__167577_31122::p10""]",[],"[""2hop__167577_31122::p10""]",2,1,"[""2hop__167577_31122::p10"", ""2hop__167577_31122::p14""]","[""2hop__167577_31122::p10"", ""2hop__167577_31122::p14""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context"", ""query_drops_question_constraints""]"
2hop__167577_31122,3,memory,answer,What were the birth and death years of George Berkeley?,What century did the author of A Treatise Concerning the Principles of Human Knowledge live in?,18th,"[""2hop__167577_31122::p10"", ""2hop__167577_31122::p14""]","[""2hop__28203_55840::p4"", ""3hop2__127483_156850_10557::p16"", ""2hop__167577_31122::p17"", ""2hop__167577_31122::p10"", ""2hop__167577_31122::p9""]","[""2hop__167577_31122::p10""]","[""2hop__167577_31122::p10""]",[],"[""2hop__167577_31122::p10""]",2,1,"[""2hop__167577_31122::p10"", ""2hop__167577_31122::p14""]","[""2hop__167577_31122::p10"", ""2hop__167577_31122::p14""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""query_drops_question_constraints""]"
2hop__244193_461106,3,memory,abstain,What movement was Robert Mills associated with?,What movement does the creator of the Washington Monument belong to?,Greek Revival,"[""2hop__244193_461106::p3"", ""2hop__244193_461106::p6""]","[""2hop__244193_461106::p6"", ""2hop__728969_131890::p8"", ""2hop__244193_461106::p13"", ""2hop__244193_461106::p12"", ""2hop__244193_461106::p4""]","[""2hop__244193_461106::p6""]","[""2hop__244193_461106::p6""]",[],"[""2hop__244193_461106::p6""]",1,4,"[""2hop__244193_461106::p6""]","[""2hop__244193_461106::p6""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context"", ""query_drops_question_constraints""]"
2hop__247353_55227,2,memory,answer,"Who is the screenwriter of Here Comes the Boom, and who plays their wife in Grown Ups?",Who plays the wife of Here Comes the Boom's screenwriter in Grown Ups?,Maria Bello,"[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]","[""2hop__247353_55227::p6"", ""2hop__247353_55227::p17"", ""2hop__91211_90973::p9"", ""2hop__92590_43786::p2"", ""2hop__92590_43786::p16""]","[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]","[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]",[],"[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]",1,1,"[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]","[""2hop__247353_55227::p17"", ""2hop__247353_55227::p6""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup""]"
2hop__286621_84856,2,memory,refine_query,What is the name of the show that is named after a cast member from Politically Incorrect?,When does the new season of the show named for the Politically Incorrect cast member?,"January 20, 2017","[""2hop__286621_84856::p12"", ""2hop__286621_84856::p17""]","[""2hop__286621_84856::p17"", ""2hop__286621_84856::p15"", ""2hop__244193_461106::p5"", ""2hop__82669_768138::p19"", ""3hop1__140786_2053_52946::p8""]","[""2hop__286621_84856::p17""]","[""2hop__286621_84856::p17""]",[],"[""2hop__286621_84856::p17""]",1,1,"[""2hop__286621_84856::p17""]","[""2hop__286621_84856::p12"", ""2hop__286621_84856::p17""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
2hop__370564_71701,2,memory,abstain,What specific year did the Japanese take full control of Foshan and Century Lotus Stadium in Guangdong Province?,What year did the japanese get to the current administrative territorial entity of the Century Lotus Stadium and the rest of the guangdong province?,November 5,"[""2hop__370564_71701::p0"", ""2hop__370564_71701::p18""]","[""2hop__370564_71701::p0"", ""2hop__370564_71701::p18"", ""2hop__763840_144857::p5"", ""3hop1__462960_160545_34751::p10"", ""3hop1__857_846_7701::p11""]","[""2hop__370564_71701::p0"", ""2hop__370564_71701::p18""]","[""2hop__370564_71701::p0"", ""2hop__370564_71701::p18""]",[],"[""2hop__370564_71701::p0"", ""2hop__370564_71701::p18""]",1,1,"[""2hop__370564_71701::p0"", ""2hop__370564_71701::p18""]","[""2hop__370564_71701::p0"", ""2hop__370564_71701::p18""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
2hop__3739_13529,3,memory,abstain,Who is the football star who backed out of the 2008 Summer Olympics torch relay and was later signed by Barcelona?,When was the football star who backed out due to relay controversy signed by Barcelona?,June 1982,"[""2hop__3739_13529::p16"", ""2hop__3739_13529::p4""]","[""2hop__3739_13529::p4"", ""2hop__136179_13529::p13"", ""2hop__136179_13529::p12"", ""2hop__3739_13529::p12"", ""2hop__3739_13529::p16""]","[""2hop__3739_13529::p16"", ""2hop__3739_13529::p4""]","[""2hop__3739_13529::p16"", ""2hop__3739_13529::p4""]",[],"[""2hop__3739_13529::p16"", ""2hop__3739_13529::p4""]",1,2,"[""2hop__3739_13529::p16"", ""2hop__3739_13529::p4""]","[""2hop__3739_13529::p16"", ""2hop__3739_13529::p4""]","[""support_retrieved_but_no_evidence_gain"", ""support_already_seen_before_followup"", ""verifier_failed_despite_support_context""]"
